CountryCode,question_code,question_label,target_group,subset,answer,percentage
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,All,All,Always,9
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,All,All,Often,29
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,All,All,Rarely,33
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,All,All,Never,29
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Lesbian women,All,Always,4
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Lesbian women,All,Often,25
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Lesbian women,All,Rarely,41
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Lesbian women,All,Never,31
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Gay men,All,Always,13
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Gay men,All,Often,37
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Gay men,All,Rarely,30
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Gay men,All,Never,20
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Trans people,All,Always,11
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Trans people,All,Often,34
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Trans people,All,Rarely,28
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Trans people,All,Never,27
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Intersex people,All,Always,16
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Intersex people,All,Often,28
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Intersex people,All,Rarely,23
France,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Intersex people,All,Never,33
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,All,All,Always,10
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,All,All,Often,28
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,All,All,Rarely,31
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,All,All,Never,31
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Lesbian women,All,Always,6
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Lesbian women,All,Often,23
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Lesbian women,All,Rarely,37
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Lesbian women,All,Never,34
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Gay men,All,Always,14
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Gay men,All,Often,35
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Gay men,All,Rarely,30
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Gay men,All,Never,21
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Trans people,All,Always,11
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Trans people,All,Often,31
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Trans people,All,Rarely,30
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Trans people,All,Never,29
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Intersex people,All,Always,15
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Intersex people,All,Often,29
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Intersex people,All,Rarely,25
EU-28,DEXschool_negcon,Experienced negative comments / conduct at school due to being LGBTI,Intersex people,All,Never,31
