CountryCode,question_code,question_label,target_group,subset,answer,percentage
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,All,All,None,27
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,All,All,A few,33
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,All,All,Most,20
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,All,All,All,19
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Lesbian women,All,None,13
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Lesbian women,All,A few,30
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Lesbian women,All,Most,26
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Lesbian women,All,All,32
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Gay men,All,None,20
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Gay men,All,A few,30
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Gay men,All,Most,21
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Gay men,All,All,28
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Trans people,All,None,40
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Trans people,All,A few,37
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Trans people,All,Most,13
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Trans people,All,All,11
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Intersex people,All,None,47
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Intersex people,All,A few,35
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Intersex people,All,Most,9
France,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Intersex people,All,All,9
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,All,All,None,29
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,All,All,A few,35
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,All,All,Most,17
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,All,All,All,19
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Lesbian women,All,None,16
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Lesbian women,All,A few,34
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Lesbian women,All,Most,23
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Lesbian women,All,All,28
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Gay men,All,None,24
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Gay men,All,A few,31
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Gay men,All,Most,19
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Gay men,All,All,26
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Trans people,All,None,43
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Trans people,All,A few,32
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Trans people,All,Most,11
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Trans people,All,All,13
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Intersex people,All,None,47
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Intersex people,All,A few,34
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Intersex people,All,Most,9
EU-28,DEXg1_E,To how many schoolmates / university co-students are you open about being LGBTI,Intersex people,All,All,10
