CountryCode,question_code,question_label,target_group,subset,answer,percentage
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,All,All,None,55
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,All,All,A few,14
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,All,All,Most,10
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,All,All,All,21
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Lesbian women,All,None,39
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Lesbian women,All,A few,20
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Lesbian women,All,Most,13
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Lesbian women,All,All,28
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Gay men,All,None,42
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Gay men,All,A few,15
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Gay men,All,Most,13
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Gay men,All,All,30
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Trans people,All,None,60
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Trans people,All,A few,12
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Trans people,All,Most,8
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Trans people,All,All,21
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Intersex people,All,None,71
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Intersex people,All,A few,15
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Intersex people,All,Most,7
France,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Intersex people,All,All,7
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,All,All,None,57
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,All,All,A few,11
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,All,All,Most,8
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,All,All,All,24
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Lesbian women,All,None,41
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Lesbian women,All,A few,15
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Lesbian women,All,Most,11
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Lesbian women,All,All,34
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Gay men,All,None,44
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Gay men,All,A few,12
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Gay men,All,Most,10
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Gay men,All,All,33
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Trans people,All,None,63
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Trans people,All,A few,10
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Trans people,All,Most,6
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Trans people,All,All,21
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Intersex people,All,None,75
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Intersex people,All,A few,10
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Intersex people,All,Most,4
EU-28,DEXg1_F,To how many immediate superiors/heads of department are you open about being LGBTI,Intersex people,All,All,11
